T [MeV]	muB [MeV]	chi2B
100	0	0.0005129096355326692
105	0	0.0012180034593901258
110	0	0.002658652437812791
115	0	0.005126971993832097
120	0	0.008971214354342259
125	0	0.01457957548420577
130	0	0.022355898840034343
135	0	0.03271753988741559
140	0	0.04618776249266451
145	0	0.06358175226023045
150	0	0.08555525384703377
155	0	0.11033353598710037
160	0	0.13374538837715047
165	0	0.1538719311278022
170	0	0.17124145955350642
175	0	0.18656232230863104
180	0	0.20019747586882516
185	0	0.21233493960145514
190	0	0.22311168969061557
195	0	0.23265182483363217
200	0	0.24107190285593094
205	0	0.24847966147631495
210	0	0.2549735877959453
215	0	0.26064397981660237
220	0	0.265574584806297
225	0	0.26984402659304757
230	0	0.2735266745059055
235	0	0.27669294392798244
240	0	0.2794091871546387
245	0	0.28173737469277466
100	30	0.00053124019156893
105	30	0.0013068007253356695
110	30	0.0027863363506974406
115	30	0.005256976867516284
120	30	0.00914892047769775
125	30	0.014892791095592555
130	30	0.022850787367936505
135	30	0.033576678013701594
140	30	0.04776933708630402
145	30	0.06593548066823733
150	30	0.08773342181603835
155	30	0.11142252101974419
160	30	0.13441408966380794
165	30	0.15483324404436244
170	30	0.17231115429119478
175	30	0.18739267810384608
180	30	0.2007157109800476
185	30	0.21267900535602952
190	30	0.22346012429914539
195	30	0.23312150410163723
200	30	0.24169247692184026
205	30	0.2492110482516014
210	30	0.2557374438385633
215	30	0.26135287956844216
220	30	0.2661525462738322
225	30	0.2702376853612674
230	30	0.2737089309118755
235	30	0.27666157800068963
240	30	0.27918269821826863
245	30	0.28134973540644165
100	60	0.0005862318596777121
105	60	0.0015731925231723008
110	60	0.0031693880893513913
115	60	0.005794099694256581
120	60	0.009996315958593417
125	60	0.01617946372585778
130	60	0.0247013858756661
135	60	0.03608793578115237
140	60	0.050976649487686224
145	60	0.06976741436149783
150	60	0.09197926182004044
155	60	0.11575746107486093
160	60	0.13850417450089395
165	60	0.1584615207934087
170	60	0.17542132483981634
175	60	0.19003570735782702
180	60	0.20297563237907043
185	60	0.21463039163077882
190	60	0.22515726627459826
195	60	0.23460255133388208
200	60	0.24298666441618547
205	60	0.2503441910926476
210	60	0.2567348324276078
215	60	0.2622401779753105
220	60	0.2669555525339261
225	60	0.2709816311792619
230	60	0.2744177358623104
235	60	0.2773572596529213
240	60	0.2798850014410343
245	60	0.2820759696176172
100	90	0.0007518670703042735
105	90	0.0019153842270125706
110	90	0.0037587730903677063
115	90	0.006744501234151882
120	90	0.0114866416862433
125	90	0.01842126169868326
130	90	0.02789537022720605
135	90	0.04039192686797713
140	90	0.0564529854754661
145	90	0.07630184953005115
150	90	0.09921088244282236
155	90	0.12311100264840638
160	90	0.1453881446432304
165	90	0.16451113399233366
170	90	0.1805674135114547
175	90	0.19439019467820778
180	90	0.20669449311996613
185	90	0.21784387052033705
190	90	0.22795682418676497
195	90	0.23705116394630424
200	90	0.2451321805644076
205	90	0.2522286542146941
210	90	0.2583991117281745
215	90	0.2637253014738905
220	90	0.26830228227882785
225	90	0.2722293890688838
230	90	0.2756035149638277
235	90	0.2785148061439246
240	90	0.28104434084675894
245	90	0.2832632444476576
100	120	0.0010164545218365412
105	120	0.0024482707134781496
110	120	0.00466491243069988
115	120	0.008196870957583683
120	120	0.013744554895818264
125	120	0.02177377033915128
130	120	0.03261054150176595
135	120	0.04668634844089289
140	120	0.06442174289934803
145	120	0.08578942557491706
150	120	0.10967761975171805
155	120	0.13366667824789316
160	120	0.15513323513401558
165	120	0.17294511466210094
170	120	0.18766032205772598
175	120	0.2003597766619037
180	120	0.21179004949510735
185	120	0.22225645225207505
190	120	0.23181379471733823
195	120	0.24043788227989488
200	120	0.24811296358479099
205	120	0.2548597731734517
210	120	0.2607346938347544
215	120	0.26581881979390337
220	120	0.2702059273242005
225	120	0.27399277808991307
230	120	0.2772724906078606
235	120	0.2801306186712211
240	120	0.2826432581129463
245	120	0.28487652151868836
100	150	0.0014173644998862998
105	150	0.003232006875078308
110	150	0.005978705150564155
115	150	0.010287732535778634
120	150	0.016960476249965363
125	150	0.02647467379726872
130	150	0.03912365992399462
135	150	0.05528932721105931
140	150	0.07525050208907613
145	150	0.0986332027301585
150	150	0.12374378861568057
155	150	0.14763364777754517
160	150	0.16773972753475785
165	150	0.183617260450015
170	150	0.19650969233384122
175	150	0.20777457543753783
180	150	0.2181325303899592
185	150	0.22777587819821515
190	150	0.236665799727551
195	150	0.2447239275064362
200	150	0.2519094799763705
205	150	0.2582337226641864
210	150	0.26374974463608336
215	150	0.2685365399386673
220	150	0.2726849443318084
225	150	0.276287500257077
230	150	0.27943209167958855
235	150	0.2821984922689111
240	150	0.28465691553977884
245	150	0.28686782255109067
100	180	0.002009894878437345
105	180	0.004353834263572832
110	180	0.007832428206191198
115	180	0.013215210992277706
120	180	0.021407922490041316
125	180	0.0328654295235963
130	180	0.04784126162596782
135	180	0.06668435443333666
140	180	0.08950452582851956
145	180	0.11542076702819476
150	180	0.14185174613836354
155	180	0.16512821512472733
160	180	0.18299815303724248
165	180	0.19617064783284158
170	180	0.20677844507879703
175	180	0.21638230147233628
180	180	0.22555121801017086
185	180	0.23429079330815838
190	180	0.2424421071585772
195	180	0.24986772276218494
200	180	0.25650261158905446
205	180	0.2623490086672553
210	180	0.26745568030334005
215	180	0.2718975427679738
220	180	0.2757602954620936
225	180	0.2791303448424245
230	180	0.28208892742754627
235	180	0.28470916099578797
240	180	0.28705496873774866
245	180	0.2891811118064181
100	210	0.0028738238828474984
105	210	0.0059371585253525745
110	210	0.010413746656270343
115	210	0.01725896252521402
120	210	0.02746801945112594
125	210	0.04142208087381283
130	210	0.05934406062983997
135	210	0.08158217540993715
140	210	0.10800577473721724
145	210	0.1369165386942646
150	210	0.16437975358519594
155	210	0.1859376691736178
160	210	0.20030007805225894
165	210	0.20996849711071722
170	210	0.2179983665269828
175	210	0.22589217399260805
180	210	0.23387617642704858
185	210	0.2417014904110834
190	210	0.2490834905766201
195	210	0.25583597898766747
200	210	0.2618779919621378
205	210	0.26720577088801317
210	210	0.2718630148214421
215	210	0.27591812753028416
220	210	0.27944901587163673
225	210	0.2825338255794069
230	210	0.2852458027893763
235	210	0.2876508203459138
240	210	0.28980652787976685
245	210	0.29176243263605595
100	240	0.004122900744818219
105	240	0.00815487043349305
110	240	0.013986108541413644
115	240	0.02280835956117199
120	240	0.035663236920365375
125	240	0.05279824349111963
130	240	0.07444958934473336
135	240	0.10099959248176309
140	240	0.13187154144181717
145	240	0.16394233355895793
150	240	0.19132395682906705
155	240	0.2092059528259067
160	240	0.21855012261105444
165	240	0.22419901367684233
170	240	0.22972260351630974
175	240	0.2360955450249693
180	240	0.24301516083766356
185	240	0.24996434623927855
190	240	0.25656587415820803
195	240	0.2626139935480046
200	240	0.2680273223389199
205	240	0.2728010383112995
210	240	0.2769729560969613
215	240	0.28060195039077557
220	240	0.28375492597231655
225	240	0.28649926714170637
230	240	0.2888986937310086
235	240	0.2910111983919169
240	240	0.2928882335449067
245	240	0.2945746292921146
100	270	0.005918576358719044
105	270	0.011248918979821816
110	270	0.0189184094825003
115	270	0.03040204831476797
120	270	0.04670339997051256
125	270	0.06788546224027464
130	270	0.09430023574017025
135	270	0.1263476657181107
140	270	0.16247109636910848
145	270	0.19703812202191048
150	270	0.22181659910242243
155	270	0.23328197823358568
160	270	0.23643556138052357
165	270	0.23824390684826766
170	270	0.24178206116229825
175	270	0.24699829791884356
180	270	0.25301124107365275
185	270	0.2591136449945151
190	270	0.26490629503797786
195	270	0.2702041040858507
200	270	0.27494263199096397
205	270	0.27912045774121014
210	270	0.2827679315666779
215	270	0.28593069144815453
220	270	0.2886607898597751
225	270	0.29101171710249557
230	270	0.2930355085723124
235	270	0.29478105535921684
240	270	0.29629316873351824
245	270	0.29761214478829534
100	300	0.00849003761216038
105	300	0.01555938408852836
110	300	0.02572850113096596
115	300	0.040783511205181575
120	300	0.06154875320447417
125	300	0.08790055752371911
130	300	0.12048738475846506
135	300	0.15950045866388723
140	300	0.20117734819399882
145	300	0.23581946381201094
150	300	0.25374159758691633
155	300	0.25611694729828177
160	300	0.2530928386615251
165	300	0.25208249330959037
170	300	0.2544113478022169
175	300	0.25881572554070675
180	300	0.2640020989810216
185	300	0.2692219993944415
190	300	0.2741334049570684
195	300	0.2786059527207751
200	300	0.2826038861822441
205	300	0.28613092310706945
210	300	0.28920751127601674
215	300	0.29186214861366555
220	300	0.2941279547621465
225	300	0.2960408804160572
230	300	0.29763832822169184
235	300	0.2989579053077827
240	300	0.30003632599440183
245	300	0.30090852859548634
100	330	0.012163877602598992
105	330	0.02156841136285314
110	330	0.035147912818280926
115	330	0.05497956236409638
120	330	0.08149829811386153
125	330	0.1145195254464742
130	330	0.15522576700089333
135	330	0.2027600863054644
140	330	0.24871693616423435
145	330	0.2781542840581232
150	330	0.2839829016701982
155	330	0.27624451183917087
160	330	0.26864438812653985
165	330	0.2662776580297527
170	330	0.2680471810878925
175	330	0.27178408430939
180	330	0.2760882356041148
185	330	0.28031659588896796
190	330	0.2842370510857415
195	330	0.2877887535559782
200	330	0.29096694586347255
205	330	0.29377921638617915
210	330	0.29623374008711123
215	330	0.29833896501629936
220	330	0.3001058251925189
225	330	0.3015493469535523
230	330	0.30268902084250443
235	330	0.3035482037974797
240	330	0.30415300161029163
245	330	0.3045310060206457
100	360	0.017408916246339005
105	360	0.029968103847353482
110	360	0.0482199052339281
115	360	0.07441232829609688
120	360	0.10831993453964216
125	360	0.15010159122782954
130	360	0.20158618765195319
135	360	0.2584999250775771
140	360	0.3039240118684176
145	360	0.3197242553114762
150	360	0.30961456379239544
155	360	0.29359145794467395
160	360	0.283993545942548
165	360	0.28149247939712496
170	360	0.28297076193311826
175	360	0.2859563784513521
180	360	0.2892232246340951
185	360	0.29231892185051916
190	360	0.2951346043650674
195	360	0.2976742716718234
200	360	0.29995869978896045
205	360	0.30199636517750456
210	360	0.3037818650411503
215	360	0.3053026571585984
220	360	0.306546098896065
225	360	0.30750419790820416
230	360	0.30817584651877283
235	360	0.30856714346701447
240	360	0.30869054455652517
245	360	0.3085634548975191
100	390	0.02490557243227458
105	390	0.041768294470645784
110	390	0.06645126528508935
115	390	0.10106156489161787
120	390	0.1444629179429849
125	390	0.19810748129662825
130	390	0.2637320801340322
135	390	0.3279790946650492
140	390	0.3620203965831184
145	390	0.3548566659278775
150	390	0.3293761532844216
155	390	0.3092950224647142
160	390	0.3000794171888557
165	390	0.29802710476688116
170	390	0.29912377746640556
175	390	0.30114702810202293
180	390	0.3032014581322898
185	390	0.3050427150910301
190	390	0.30666978363140607
195	390	0.3081357227578255
200	390	0.30947755046344566
205	390	0.3107010768062497
210	390	0.3117870626886811
215	390	0.31270284215943717
220	390	0.3134127959125964
225	390	0.31388559674208033
230	390	0.31409818510431786
235	390	0.31403719038910816
240	390	0.3136986543125764
245	390	0.31308679381521065
100	420	0.03565638548337136
105	420	0.058473123406377246
110	420	0.09205316155498967
115	420	0.1377078680440658
120	420	0.19347357518744984
125	420	0.26396411210818665
130	420	0.3467688000322178
135	420	0.4083653265767664
140	420	0.4135037114265122
145	420	0.3789025718232407
150	420	0.34417346036976676
155	420	0.3247674872534702
160	420	0.3173293133814038
165	420	0.31571915890586927
170	420	0.3161594329888331
175	420	0.31699684641862935
180	420	0.3177038565309922
185	420	0.318219613333492
190	420	0.3186236738440856
195	420	0.3189994494233518
200	420	0.31939005871345894
205	420	0.3197947310402451
210	420	0.3201801915728148
215	420	0.32049509254213693
220	420	0.3206824662629322
225	420	0.3206886159765038
230	420	0.3204684747686266
235	420	0.319988109911749
240	420	0.31922520126628634
245	420	0.31816824335060306
100	450	0.051168222163341125
105	450	0.08238123521106198
110	450	0.12833431278198904
115	450	0.18833086962469073
120	450	0.261041236277636
125	450	0.35689923174178406
130	450	0.45433318281276086
135	450	0.48709149967424453
140	450	0.44607726605577147
145	450	0.390875384233296
150	450	0.3562679975850804
155	450	0.3409446100762326
160	450	0.3356124739676363
165	450	0.3340936956439507
170	450	0.3335666480362441
175	450	0.3330432018101871
180	450	0.3323296122222453
