T [MeV]	muB/T	e/T^4
125	0	2.06937869204025
125	0.5	2.095840305271251
125	1.	2.1824728779617093
125	1.5	2.3537902759403417
125	2.	2.6587010693569084
125	2.5	3.179941327398687
125	3.	4.04992535325535
125	3.5	5.5140725423423795
125	4.	8.21024372422138
130	0	2.433627240143661
130	0.5	2.4715261945050098
130	1.	2.5967647169141004
130	1.5	2.845494657246223
130	2.	3.282556752243629
130	2.5	4.012197744082887
130	3.	5.22442980739156
130	3.5	7.338176375118761
130	4.	10.571915668695715
135	0	2.819346688247129
135	0.5	2.8719708804492092
135	1.	3.0454123052948967
135	1.5	3.3856484583492734
135	2.	3.9723462550973005
135	2.5	4.947567807885116
135	3.	6.586781356412826
135	3.5	9.06239341888796
135	4.	11.548318470093538
140	0	3.2281723292997455
140	0.5	3.3007291066708606
140	1.	3.5360166018493615
140	1.5	3.9866854154097067
140	2.	4.7527742363652115
140	2.5	6.01273559934268
140	3.	7.892286695591995
140	3.5	10.00083821399071
140	4.	12.034474911442663
145	0	3.6629718538194993
145	0.5	3.7622304462197613
145	1.	4.076150078923464
145	1.5	4.659057101355409
145	2.	5.615433202582958
145	2.5	7.03028939140552
145	3.	8.740971410458924
145	3.5	10.519571444367697
145	4.	12.482420640528522
150	0	4.127149376629907
150	0.5	4.252285623239402
150	1.	4.639559920646324
150	1.5	5.330530705602418
150	2.	6.372227262130041
150	2.5	7.71120561888572
150	3.	9.219333620942209
150	3.5	10.909337262450798
150	4.	12.901527168690933
155	0	4.623106188482866
155	0.5	4.758605000318609
155	1.	5.17375320118217
155	1.5	5.887906765053331
155	2.	6.890330187216348
155	2.5	8.119906391996226
155	3.	9.554198915272227
155	3.5	11.251051622722652
155	4.	13.28787874340813
160	0	5.14965787330907
160	0.5	5.283512988773364
160	1.	5.69243437426009
160	1.5	6.382999413931732
160	2.	7.333056469042002
160	2.5	8.514998428158629
160	3.	9.94373132873056
160	3.5	11.669900725588516
160	4.	13.74868700883453
165	0	5.698947095103859
165	0.5	5.830677843239169
165	1.	6.2315127804603225
165	1.5	6.90280517758118
165	2.	7.828569620317888
165	2.5	9.002208165643204
165	3.	10.446536515715417
165	3.5	12.203338273931271
165	4.	14.317544098167232
170	0	6.254697657293372
170	0.5	6.3864656620541105
170	1.	6.784878589152514
170	1.5	7.448294795957174
170	2.	8.36794023463182
170	2.5	9.547771755590796
170	3.	11.011386373384358
170	3.5	12.794536810933257
170	4.	14.936661036568875
175	0	6.7943084698390726
175	0.5	6.927028409150129
175	1.	7.325679959553898
175	1.5	7.986823672102602
175	2.	8.907449517726471
175	2.5	10.096973729069841
175	3.	11.57794573465138
175	3.5	13.381646966284517
175	4.	15.543903569674683
180	0	7.295316661845307
180	0.5	7.428889861269073
180	1.	7.8279389129692865
180	1.5	8.488401524313417
180	2.	9.411797281114445
180	2.5	10.610390510511802
180	3.	12.104974308576745
180	3.5	13.923015948207015
180	4.	16.09756771780787
185	0	7.742788562109978
185	0.5	7.876730800446917
185	1.	8.275375157578308
185	1.5	8.935043448665313
185	2.	9.860826799369896
185	2.5	11.0663183858691
185	3.	12.570158730131034
185	3.5	14.396266608034324
185	4.	16.57538682470507
190	0	8.132782005831896
190	0.5	8.266546185893729
190	1.	8.663795952700047
190	1.5	9.321950547410832
190	2.	10.248855196201717
190	2.5	11.458457786020922
190	3.	12.967009498205217
190	3.5	14.795019790158026
190	4.	16.971270711039125
195	0	8.47045143993041
195	0.5	8.603544331514087
195	1.	8.998495111207056
195	1.5	9.654235167357738
195	2.	10.580615838066764
195	2.5	11.79128045887092
195	3.	13.299994588989572
195	3.5	15.124012180660777
195	4.	17.290474317825197
200	0	8.76545216238027
200	0.5	8.89746155334198
200	1.	9.289362034100447
200	1.5	9.941760219475299
200	2.	10.865799783194682
200	2.5	12.074370763096338
200	3.	13.578821152499302
200	3.5	15.393416169980878
200	4.	17.543989221877283
205	0	9.027877098482596
205	0.5	9.15846731781737
205	1.	9.546720595028946
205	1.5	10.194882886257787
205	2.	11.114686403362207
205	2.5	12.317986384068561
205	3.	13.813997378055397
205	3.5	15.614467035854892
205	4.	17.744259214702332
210	0	9.266065290094827
210	0.5	9.394964982509268
210	1.	9.779116741719598
210	1.5	10.422211233538425
210	2.	11.335854613319526
210	2.5	12.530747541787177
210	3.	14.014549894085787
210	3.5	15.797267303582844
210	4.	17.903086445655802
215	0	9.486001234254177
215	0.5	9.612992051387618
215	1.	9.99272252614505
215	1.5	10.629998469126106
215	2.	11.535556931980173
215	2.5	12.719009303323654
215	3.	14.187441815935918
215	3.5	15.950313221665034
215	4.	18.031263772652007
220	0	9.691555962802683
220	0.5	9.816464646041805
220	1.	10.191587802812963
220	1.5	10.822390864345758
220	2.	11.717957271761843
220	2.5	12.88710871562445
220	3.	14.337881215565563
220	3.5	16.08093400996077
220	4.	18.139112546025068
225	0	9.885000088078757
225	0.5	10.007694097502526
225	1.	10.378163145056565
225	1.5	11.001947990830994
225	2.	11.885645814281077
225	2.5	13.037897298327726
225	3.	14.469931107519542
225	3.5	16.196055542940346
225	4.	18.23731573801304
230	0	10.067503912596774
230	0.5	10.187890019572531
230	1.	10.553807354995525
230	1.5	11.170147349750106
230	2.	12.04014126122483
230	2.5	13.17326862652556
230	3.	14.587132063040288
230	3.5	16.302999108760197
230	4.	18.337724001434577
235	0	10.239528912446975
235	0.5	10.357554049522859
235	1.	10.719183881747135
235	1.5	11.327777563114473
235	2.	12.182284108894208
235	2.5	13.294584967919242
235	3.	14.693043100324777
235	3.5	16.410218610998804
235	4.	18.453987160137157
240	0	10.401103509374135
240	0.5	10.516757257887125
240	1.	10.874539552045134
240	1.5	11.475213688891614
240	2.	12.312514446633273
240	2.5	13.402997147141555
240	3.	14.791696693346669
240	3.5	16.527967453607832
240	4.	18.60192300230771
245	0	10.552005833930677
245	0.5	10.665529432505705
245	1.	11.019872829104788
245	1.5	11.612371283316067
245	2.	12.432051280229597
245	2.5	13.502637363880288
245	3.	14.889322288950616
245	3.5	16.65839394705605
245	4.	18.76451086185058
