T [MeV]	muB/T	s/T^3
125	0	2.4189638271676874
125	0.5	2.4434699098375074
125	1.	2.522973976314407
125	1.5	2.676979745183436
125	2.	2.9420829186023947
125	2.5	3.3756068642153303
125	3.	4.061813524264781
125	3.5	5.148302938868521
125	4.	7.001218218393241
130	0	2.825496092594111
130	0.5	2.8604161507443613
130	1.	2.9745239429445256
130	1.5	3.1959034993704023
130	2.	3.571318642677381
130	2.5	4.169651072323344
130	3.	5.109523250468313
130	3.5	6.637860293347306
130	4.	8.743802778250304
135	0	3.262033335470667
135	0.5	3.3103109060142497
135	1.	3.4672859752102543
135	1.5	3.7672428250598924
135	2.	4.265284169062926
135	2.5	5.053782386970359
135	3.	6.2993652350755145
135	3.5	8.020302930132381
135	4.	9.551277112489629
140	0	3.728972252582787
140	0.5	3.7953932709945803
140	1.	4.007480657196171
140	1.5	4.402226037043512
140	2.	5.046675972816585
140	2.5	6.0509122872011565
140	3.	7.438458099949332
140	3.5	8.835012920016595
140	4.	10.057401039066015
145	0	4.228341959542987
145	0.5	4.319133317052705
145	1.	4.601604467361619
145	1.5	5.110140113780182
145	2.	5.9072288105297615
145	2.5	7.011084352673273
145	3.	8.226310488547925
145	3.5	9.367935562769633
145	4.	10.549353331606905
150	0	4.76313750964667
150	0.5	4.876906755036498
150	1.	5.2231610371639325
150	1.5	5.820231248789776
150	2.	6.672742417236735
150	2.5	7.686073856208345
150	3.	8.72557450570918
150	3.5	9.804080678262732
150	4.	11.00968906034585
155	0	5.335758271432134
155	0.5	5.456784587250278
155	1.	5.821254839212302
155	1.5	6.425238412978576
155	2.	7.223779993914224
155	2.5	8.129985915977157
155	3.	9.107351779822666
155	3.5	10.193377553334079
155	4.	11.431545543048337
160	0	5.945260488315122
160	0.5	6.061822347511753
160	1.	6.41163960269622
160	1.5	6.98027646109835
160	2.	7.718925032038549
160	2.5	8.577483465920048
160	3.	9.549048782146427
160	3.5	10.657333617653489
160	4.	11.92485277484954
165	0	6.583895843319756
165	0.5	6.695919852750851
165	1.	7.030647074976198
165	1.5	7.571054299081529
165	2.	8.279066810558843
165	2.5	9.125523534908778
165	3.	10.107474625195294
165	3.5	11.237395793883074
165	4.	12.528574150854467
170	0	7.234876500519322
170	0.5	7.344837570828711
170	1.	7.671235035312124
170	1.5	8.196328054860755
170	2.	8.891815201671902
170	2.5	9.738688947135973
170	3.	10.732989443390904
170	3.5	11.880182487660623
170	4.	13.18870023670804
175	0	7.874198124632253
175	0.5	7.983241389175934
175	1.	8.304785882437697
175	1.5	8.821114497981146
175	2.	9.511130492147316
175	2.5	10.361122931037913
175	3.	11.365444762021351
175	3.5	12.524721286390918
175	4.	13.844097505233208
180	0	8.477362717373312
180	0.5	8.585580116692967
180	1.	8.903073706599013
180	1.5	9.412903875051532
180	2.	10.099328851788455
180	2.5	10.951622751968932
180	3.	11.962424479369313
180	3.5	13.128511326631083
180	4.	14.452288369575427
185	0	9.027419200443104
185	0.5	9.134498779477358
185	1.	9.447670880420944
185	1.5	9.951416549766956
185	2.	10.634064312932983
185	2.5	11.486625966690896
185	3.	12.500080262000985
185	3.5	13.667833525032671
185	4.	14.989710795359342
190	0	9.518951456501805
190	0.5	9.624506952451075
190	1.	9.932819831264398
190	1.5	10.430204924212298
190	2.	11.108086876437097
190	2.5	11.95847066434308
190	3.	12.970758349639148
190	3.5	14.1352666226911
190	4.	15.44924659766944
195	0	9.956286573705114
195	0.5	10.059975484510668
195	1.	10.362916445930592
195	1.5	10.853437089922958
195	2.	11.525254514836787
195	2.5	12.370893022575032
195	3.	13.378316684963561
195	3.5	14.535003002981297
195	4.	15.835580601915261
200	0	10.348712964349952
200	0.5	10.450263537581554
200	1.	10.74742523095616
200	1.5	11.230527976431784
200	2.	11.894871390626397
200	2.5	12.733189850014693
200	3.	13.732244598653864
200	3.5	14.877003614637948
200	4.	16.159421472217723
205	0	10.706192139053561
205	0.5	10.805398623894979
205	1.	11.096489395960528
205	1.5	11.57164554931526
205	2.	12.227082875805092
205	2.5	13.055553224030662
205	3.	14.04300006837805
205	3.5	15.17238932037609
205	4.	16.43297943067086
210	0	11.037020354587952
210	0.5	11.133730705214687
210	1.	11.418569227351268
210	1.5	11.885312882338173
210	2.	12.530433084889903
210	2.5	13.346608513374395
210	3.	14.319569099614316
210	3.5	15.43107034481846
210	4.	16.667702386644528
215	0	11.347158187183137
215	0.5	11.441262850965234
215	1.	11.719774584807688
215	1.5	12.177727793048021
215	2.	12.811164700011288
215	2.5	13.612710815398856
215	3.	14.568794994898441
215	3.5	15.661162342720388
215	4.	16.873815349690148
220	0	11.640445843293955
220	0.5	11.731870006064547
220	1.	12.004089451326886
220	1.5	12.452981976960613
220	2.	13.073427955428954
220	2.5	13.858158475189711
220	3.	14.795634823916393
220	3.5	15.869347984712622
220	4.	17.060819778859045
225	0	11.91910977279011
225	0.5	12.007809126525244
225	1.	12.273887353203468
225	1.5	12.713573027239432
225	2.	13.319786763083604
225	2.5	14.08570910915036
225	3.	15.003729053842553
225	3.5	16.061571639004832
225	4.	17.23833291303581
230	0	12.184263456726017
230	0.5	12.270222849046405
230	1.	12.530438759173862
230	1.5	12.960908786455073
230	2.	13.551719499701179
230	2.5	14.29709505585424
230	3.	15.195982401390507
230	3.5	16.243766510926843
230	4.	17.416954995898408
235	0	12.43630167466443
235	0.5	12.519535903283094
235	1.	12.774309731175892
235	1.5	13.195702911532374
235	2.	13.770012685835521
235	2.5	14.493436619611007
235	3.	15.375055648218233
235	3.5	16.422514592432293
235	4.	17.609046260612413
240	0	12.675179326289676
240	0.5	12.755735447881236
240	1.	13.005643353376469
240	1.5	13.418253169896433
240	2.	13.975038893990778
240	2.5	14.675544855437797
240	3.	15.543761561306486
240	3.5	16.605632474509918
240	4.	17.829375641892696
245	0	12.900596894737365
245	0.5	12.978762932779139
245	1.	13.224330505148043
245	1.5	13.628398326901003
245	2.	14.167935008397965
245	2.5	14.847092427406404
245	3.	15.706717942403511
245	3.5	16.79218738587784
245	4.	18.06060606239724
