T [MeV]	muB/T	nB/T^3
100	0	0
100	0.5	0.0005345784761411231
100	1.	0.0010431411186284424
100	1.5	0.0015621991944093977
100	2.	0.0022638223238772622
100	2.5	0.003552839672492533
100	3.	0.006209742490561628
100	3.5	0.01161762864401319
100	4.	0.022611230443029064
105	0	0
105	0.5	0.0009670742905831965
105	1.	0.0020522310363951437
105	1.5	0.0034701796030734227
105	2.	0.005649220751069136
105	2.5	0.009396587845567236
105	3.	0.016160353477781345
105	3.5	0.028482682650402182
105	4.	0.05115591675320888
110	0	0
110	0.5	0.0015759318475583439
110	1.	0.0034608416192095396
110	1.5	0.006132968314141168
110	2.	0.010447999254916447
110	2.5	0.01794139289277354
110	3.	0.031323914791891484
110	3.5	0.055376048543803125
110	4.	0.09892178386639316
115	0	0
115	0.5	0.0026550674779981884
115	1.	0.005930326941336123
115	1.5	0.010741793092324654
115	2.	0.018664624811987416
115	2.5	0.03246032601130368
115	3.	0.05694422482438731
115	3.5	0.10057838525485106
115	4.	0.17994594679549009
120	0	0
120	0.5	0.004508051346635578
120	1.	0.010155986438461446
120	1.5	0.01856687385876221
120	2.	0.032428236259451064
120	2.5	0.056314455677852496
120	3.	0.09803742651341615
120	3.5	0.17133136700202364
120	4.	0.30328519322576314
125	0	0
125	0.5	0.007405593585361541
125	1.	0.01675157143438307
125	1.5	0.03069172124829368
125	2.	0.053425579485069895
125	2.5	0.09186516063023663
125	3.	0.1577767259178609
125	3.5	0.2736963448062337
125	4.	0.4964585988928658
130	0	0
130	0.5	0.011556515830283338
130	1.	0.026160901950208836
130	1.5	0.04780634974244621
130	2.	0.0825408957504326
130	2.5	0.14023225623218225
130	3.	0.23890842772672552
130	3.5	0.41736125161276383
130	4.	0.717124991447847
135	0	0
135	0.5	0.017119387556033056
135	1.	0.03867632415085351
135	1.5	0.0702718796036947
135	2.	0.12022501124315157
135	2.5	0.20271974041637422
135	3.	0.3446591030835898
135	3.5	0.5755968890413954
135	4.	0.8307503132938991
140	0	0
140	0.5	0.024276974078389257
140	1.	0.05462245989251634
140	1.5	0.09854598884416566
140	2.	0.16732184089964966
140	2.5	0.2798801888544058
140	3.	0.4577162163561282
