T [MeV]	muB/T	P/T^4
125	0	0.34898973743955636
125	0.5	0.35088394564417763
125	1.	0.3569595219253994
125	1.5	0.36864231151458193
125	2.	0.3891129819900899
125	2.5	0.4244725251288485
125	3.	0.4854452373601338
125	3.5	0.5905366484746972
125	4.	0.7762134920554424
130	0	0.3928098503930477
130	0.5	0.3956779028430124
130	1.	0.40497871964081994
130	1.5	0.4231066660856073
130	2.	0.45500790678971387
130	2.5	0.5095562950054566
130	3.	0.602093910471652
130	3.5	0.7614082522443237
130	4.	1.041328073288576
135	0	0.44352611624209426
135	0.5	0.4476925593260813
135	1.	0.4613020413519169
135	1.5	0.4879696701106132
135	2.	0.5346866370310228
135	2.5	0.6136998710435089
135	3.	0.7471891776828552
135	3.5	0.9738442673482947
135	4.	1.3267993645902458
140	0	0.5008589231079612
140	0.5	0.5067348650777865
140	1.	0.5259392343883728
140	1.5	0.5634239890052986
140	2.	0.6285420304928756
140	2.5	0.7379699699232566
140	3.	0.9196058472611414
140	3.5	1.2028344041967536
140	4.	1.5953742744517883
145	0	0.5647135387849105
145	0.5	0.5728515233460661
145	1.	0.5992579361015898
145	1.5	0.6501974898766283
145	2.	0.737632757545144
145	2.5	0.8814313180007548
145	3.	1.1054124306616229
145	3.5	1.4241748871888669
145	4.	1.8434855836554729
150	0	0.635134778955891
150	0.5	0.6461337642064787
150	1.	0.6813841937247821
150	1.5	0.7481401112975113
150	2.	0.8597886616828788
150	2.5	1.0344671246361705
150	3.	1.2882740770634498
150	3.5	1.631650598932271
150	4.	2.074063496663689
155	0	0.7122015535596384
155	0.5	0.72629234309542
155	1.	0.770919186338405
155	1.5	0.8535947150256612
155	2.	0.9868776683671222
155	2.5	1.185134415697852
155	3.	1.4608105197472065
155	3.5	1.8247842251998934
155	4.	2.2886629284162203
160	0	0.7958570482255445
160	0.5	0.8127591962403975
160	1.	0.8658465692420148
160	1.5	0.9623082778347283
160	2.	1.1129715081971279
160	2.5	1.3295741298474537
160	3.	1.6234578931059427
160	3.5	2.006181507981085
160	4.	2.490255409347795
165	0	0.885710697210751
165	0.5	0.9050193600020254
165	1.	0.9653098016463423
165	1.5	1.0732429997245447
165	2.	1.2381194762884626
165	2.5	1.4701793977262267
165	3.	1.7803531105615866
