T [MeV]	muB/T	(e-3P)/T^4
125	0	1.0224094797215808
125	0.5	1.043188468338718
125	1.	1.1115943121855107
125	1.5	1.2478633413965956
125	2.	1.4913621233866383
125	2.5	1.9065237520121419
125	3.	2.5935896411749484
125	3.5	3.7424625969182874
125	4.	5.881603248055052
130	0	1.2551976889645178
130	0.5	1.2844924859759728
130	1.	1.3818285579916405
130	1.5	1.5761746589894012
130	2.	1.9175330318744879
130	2.5	2.483528859066517
130	3.	3.418148075976604
130	3.5	5.05395161838579
130	4.	7.447931448829985
135	0	1.4887683395208464
135	0.5	1.5288932024709654
135	1.	1.6615061812391467
135	1.5	1.921739448017434
135	2.	2.368286344004232
135	2.5	3.10646819475459
135	3.	4.34521382336426
135	3.5	6.140860616843074
135	4.	7.5679203763228005
140	0	1.7255955599758623
140	0.5	1.7805245114375012
140	1.	1.9581988986842438
140	1.5	2.2964134483938112
140	2.	2.8671481448865848
140	2.5	3.79882568957291
140	3.	5.133469153808571
140	3.5	6.39233500140045
140	4.	7.248352088087299
145	0	1.968831237464768
145	0.5	2.043675876181563
145	1.	2.278376270618695
145	1.5	2.7084646317255245
145	2.	3.4025349299475254
145	2.5	4.385995437403256
145	3.	5.4247341184740545
145	3.5	6.247046782801098
145	4.	6.951963889562104
150	0	2.221745039762234
150	0.5	2.3138843306199646
150	1.	2.5954073394719774
150	1.5	3.0861103717098826
150	2.	3.7928612770814043
150	2.5	4.607804244977208
150	3.	5.35451138975186
150	3.5	6.014385465653984
150	4.	6.679336678699865
155	0	2.4865015278039513
155	0.5	2.57972797103235
155	1.	2.8609956421669556
155	1.5	3.3271226199763477
155	2.	3.9296971821149818
155	2.5	4.56450314490267
155	3.	5.1717673560306086
155	3.5	5.7766989471229735
155	4.	6.42188995815947
160	0	2.762086728632436
160	0.5	2.84523540005217
160	1.	3.0948946665340453
160	1.5	3.496074580427546
160	2.	3.9941419444506163
160	2.5	4.526276038616268
160	3.	5.07335764941273
160	3.5	5.65135620164526
160	4.	6.277920780791144
165	0	3.0418150034716063
165	0.5	3.115619763233092
165	1.	3.3355833755212956
165	1.5	3.6830761784075454
165	2.	4.114211191452499
165	2.5	4.591669972464523
165	3.	5.105477184030658
165	3.5	5.661753187167898
165	4.	6.2668528477962315
170	0	3.3120107234647973
170	0.5	3.379541379046032
170	1.	3.5783792226279383
170	1.5	3.888634259656515
170	2.	4.277067436595805
170	2.5	4.719601765141644
170	3.	5.207842601698667
170	3.5	5.741633721842252
170	4.	6.321550683645861
175	0	3.554083829081935
175	0.5	3.6169039682106887
175	1.	3.799417776532657
175	1.5	4.08167792024266
175	2.	4.438724202413766
175	2.5	4.853689761374445
175	3.	5.3178694029692615
175	3.5	5.826844291208928
175	4.	6.377689910059454
180	0	3.7504414647569373
180	0.5	3.808986351985998
180	1.	3.9770868572525857
180	1.5	4.235822541431417
180	2.	4.56659231256974
180	2.5	4.956614520188705
180	3.	5.3962020908428965
180	3.5	5.8776392324330455
180	4.	6.395581570711911
185	0	3.8910218019830625
185	0.5	3.9452974457538392
185	1.	4.09973785571598
185	1.5	4.337290230218597
185	2.	4.644244383117172
185	2.5	5.010095269062102
185	3.	5.4238517342675685
185	3.5	5.875001041921795
185	4.	6.35640706538451
190	0	3.975990681634868
190	0.5	4.025918399562435
190	1.	4.167137040436754
190	1.5	4.384963440438824
190	2.	4.669383511820078
190	2.5	5.011035767042572
190	3.	5.397476741167715
190	3.5	5.815726014717963
190	4.	6.257311316909892
195	0	4.013455537194247
195	0.5	4.058991354237482
195	1.	4.187405516882064
195	1.5	4.38657232961902
195	2.	4.649153867576285
195	2.5	4.966194007978939
195	3.	5.323790688975221
195	3.5	5.706805722846349
195	4.	6.105824943587999
200	0	4.0148779017782115
200	0.5	4.056037221778354
200	1.	4.172116833248486
200	1.5	4.353491652577736
200	2.	4.594600567361143
200	2.5	4.886414773600787
200	3.	5.213721937576351
200	3.5	5.559615136229096
200	4.	5.914111384801705
205	0	3.991263426424485
205	0.5	4.0281139217811175
205	1.	4.1323860378169375
205	1.5	4.296721467716719
205	2.	4.516519055879337
205	2.5	4.782395873574435
205	3.	5.078171931100684
205	3.5	5.385724653608369
205	4.	5.694851343828105
210	0	3.9512898018523472
210	0.5	3.9839376546383067
210	1.	4.076977848730103
210	1.5	4.2249575538849005
210	2.	4.423470378901413
210	2.5	4.662673541656646
210	3.	4.926020256375981
210	3.5	5.194977363988495
210	4.	5.459402157959347
215	0	3.9009793298801583
215	0.5	3.9295574626660295
215	1.	4.011985203639662
215	1.5	4.144255887110848
215	2.	4.321419556846654
215	2.5	4.533253347131939
215	3.	4.7637917621888075
215	3.5	4.995245860238421
215	4.	5.217637263990802
220	0	3.844128585536769
220	0.5	3.868789000259476
220	1.	3.941270021129868
220	1.5	4.0584664882472765
220	2.	4.2141554011185836
220	2.5	4.398034371944329
220	3.	4.596130666495989
220	3.5	4.793013751391183
220	4.	4.978600226944187
225	0	3.7829314076161706
225	0.5	3.803841428988008
225	1.	3.8670957719795287
225	1.5	3.969860918531102
225	2.	4.103909913754697
225	2.5	4.259441222996412
225	3.	4.426496115790746
225	3.5	4.594196333977531
225	4.	4.751367791097113
230	0	3.7185321601983308
230	0.5	3.7358737308967735
