T [MeV]	muB [MeV]	nB/T^3
100	0	0.
100	10	0.000046794176202836115
100	20	0.00009422258789673515
100	30	0.00014292980331888933
100	40	0.0001935811948073523
100	50	0.0002468736888645167
100	60	0.00030354693851989317
100	70	0.00036439506605405626
100	80	0.0004302791313139141
100	90	0.0005021404890959555
100	100	0.0005810152097662112
100	110	0.0006680497502597801
100	120	0.0007645180777014534
100	130	0.0008718404664425085
100	140	0.0009916042100306698
100	150	0.0011255865149713076
100	160	0.0012757798715148227
100	170	0.0014444202306000853
100	180	0.001634018354841144
100	190	0.0018473947563327293
100	200	0.0020877186867668414
100	210	0.0023585517062890094
100	220	0.002663896426578381
100	230	0.0030082511093581384
100	240	0.003396670893012226
100	250	0.003834836537297711
100	260	0.004329131702832907
100	270	0.004886729940418089
100	280	0.005515692745846274
100	290	0.006225080250848874
100	300	0.007025076375844443
100	310	0.007927130574126872
100	320	0.008944118658190496
100	330	0.010090525628868554
100	340	0.011382653956084841
100	350	0.012838861373804104
100	360	0.014479833025667504
100	370	0.016328893709137114
100	380	0.018412367110566274
100	390	0.02075999028055429
100	400	0.023405393356874506
100	410	0.026386656615666262
100	420	0.029746959606896068
100	430	0.03353534047531203
100	440	0.037807587713942103
100	450	0.042627292067464885
100	460	0.04806709298343974
100	470	0.054210163135898784
100	480	0.06115198591529622
100	490	0.06900249620677586
100	500	0.07788867509838192
100	510	0.08795771667939567
100	520	0.09938092232841
100	530	0.11235853105162473
100	540	0.12712576620759256
100	550	0.14396048841329398
100	560	0.16319299702983672
100	570	0.1852187658602
100	580	0.21051526240688406
100	590	0.23966459389992986
100	600	0.2733846844964165
100	605	0.2922306947506916
100	610	0.3125731423232651
100	615	0.33456253833804367
100	620	0.3583697066538444
100	625	0.3841888525852511
100	630	0.41223997596873646
102	600	0.32527639640423667
102	605	0.34776129101595726
102	610	0.37210322931881595
102	615	0.39850670954348694
102	620	0.4272100191082092
102	625	0.458494377064297
102	630	0.4926968710679202
104	600	0.38512664252333745
104	605	0.41171882174918134
104	610	0.4405445862683371
104	615	0.47186434562068674
104	620	0.5059943163688877
104	625	0.5433374565853005
104	630	0.5844504339571269
105	0	0.
105	10	0.00012605738102046415
105	20	0.0002534012778371311
105	30	0.00038333474201847795
105	40	0.0005171940743428651
105	50	0.0006563658955964866
105	60	0.0008023047593711139
105	70	0.0009565514974469658
105	80	0.0011207524987752713
105	90	0.0012966801337991412
105	100	0.0014862545518247304
105	110	0.0016915670960076488
105	120	0.0019149056031098211
105	130	0.0021587818797336265
105	140	0.002425961678172706
105	150	0.0027194975280776996
