phi3 phi8  	V[GeV^4]
-1	1.73205	0
-1	1.38564	-4.90331E-5
-1	1.03923	1.73705E-4
-1	0.69282	0.00129
-1	0.34641	7.50743E-4
-1	0	 	4.15124E-4
-1	-1.73205	0
-1	-1.38564	-4.90331E-5
-1	-1.03923	1.73705E-4
-1	-0.69282	0.00129
-1	-0.34641	7.50743E-4
-0.8	1.73205	-3.59551E-4
-0.8	1.38564	-9.30059E-5
-0.8	0.69282	9.17065E-4
-0.8	-1.73205	-3.59551E-4
-0.8	-1.38564	-9.30059E-5
-0.8	-0.69282	9.17065E-4
-0.6	1.73205	-5.88654E-4
-0.6	1.38564	1.5263E-4
-0.6	1.03923	3.40904E-4
-0.6	0.34641	5.94473E-4
-0.6	0		1.18097E-4
-0.6	-1.73205	-5.88654E-4
-0.6	-1.38564	1.5263E-4
-0.6	-1.03923	3.40904E-4
-0.6	-0.34641	5.94473E-4
-0.4	1.73205	-4.29489E-4
-0.4	1.38564	5.46616E-4
-0.4	0.69282	1.80348E-4
-0.4	-1.73205	-4.29489E-4
-0.4	-1.38564	5.46616E-4
-0.4	-0.69282	1.80348E-4
-0.2	1.73205	-9.04897E-5
-0.2	1.38564	0.0011
-0.2	1.03923	0.00114
-0.2	0.69282	1.45149E-4
-0.2	0.34641	2.06198E-5
-0.2	0		2.1368E-4
-0.2	-1.73205	-9.04897E-5
-0.2	-1.38564	0.0011
-0.2	-1.03923	0.00114
-0.2	-0.69282	1.45149E-4
-0.2	-0.34641	2.06198E-5
0.2	1.73205	-9.04921E-5
0.2	1.38564	0.0011
0.2	1.03923	0.00114
0.2	0.69282	1.45149E-4
0.2	0.34641	2.06266E-5
0.2	0		2.13705E-4
0.2	-1.73205	-9.04921E-5
0.2	-1.38564	0.0011
0.2	-1.03923	0.00114
0.2	-0.69282	1.45149E-4
0.2	-0.34641	2.06266E-5
0.4	1.73205	-4.29493E-4
0.4	1.38564	5.46616E-4
0.4	0.69282	1.80348E-4
0.4	-1.73205	-4.29493E-4
0.4	-1.38564	5.46616E-4
0.4	-0.69282	1.80348E-4
0.6	1.73205	-5.88652E-4
0.6	1.38564	1.5263E-4
0.6	1.03923	3.40908E-4
0.6	0.34641	5.94491E-4
0.6	0		1.17658E-4
0.6	-1.73205	-5.88652E-4
0.6	-1.38564	1.5263E-4
0.6	-1.03923	3.40908E-4
0.6	-0.34641	5.94491E-4
0.8	1.73205	-3.59544E-4
0.8	1.38564	-9.30059E-5
0.8	0.69282	9.17065E-4
0.8	-1.73205	-3.59544E-4
0.8	-1.38564	-9.30059E-5
0.8	-0.69282	9.17065E-4
1	1.73205	2.08393E-9
1	1.38564	-4.90331E-5
1	1.03923	1.7371E-4
1	0.69282	0.00129
1	0.34641	7.5073E-4
1	0		4.44587E-4
1	-1.73205	2.08393E-9
1	-1.38564	-4.90331E-5
1	-1.03923	1.7371E-4
1	-0.69282	0.00129
1	-0.34641	7.5073E-4
-0.62	0.69282	4.98583E-4
-0.62	-0.69282	4.98583E-4
-0.3	0.69282	1.18348E-4
-0.3	0.34641	8.22507E-5
-0.3	-0.69282	1.18348E-4
-0.3	-0.34641	8.22507E-5
-0.1	0.69282	2.69502E-4
-0.1	0.34641	7.87075E-5
-0.1	-0.69282	2.69502E-4
-0.1	-0.34641	7.87075E-5
0	0.69282	3.55648E-4
0	-0.69282	3.55648E-4
0.1	0.69282	2.69502E-4
0.1	0.34641	7.87033E-5
0.1	-0.69282	2.69502E-4
0.1	-0.34641	7.87033E-5
0.3	0.69282	1.18348E-4
0.3	0.34641	8.22676E-5
0.3	-0.69282	1.18348E-4
0.3	-0.34641	8.22676E-5
0.62	0.69282	4.98583E-4
0.62	-0.69282	4.98583E-4
-0.4	0.34641	2.35139E-4
-0.4	0		-3.73709E-6
-0.4	-0.34641	2.35139E-4
0.4	0.34641	2.35155E-4
0.4	0		-3.70171E-6
0.4	-0.34641	2.35155E-4
