T[GeV]	-〈ψψ〉^(1/3)[MeV] 	χlm[GeV^2]	L		T[GeV]	dL/dT
0.1		342.27437			164.45353		0.03628	0.1		0.86551
0.125	338.70009			164.46443		0.10358	0.105	1.38474
0.135	333.11253			164.58265		0.19708	0.11		2.19968
0.145	311.22823			165.30643		0.4108	0.115	3.45486
0.15		282.20241			166.32342		0.5572	0.12		5.33071
0.155	241.84246			167.53379		0.66051	0.125	8.00317
0.16		193.69261			168.33084		0.73425	0.13		11.53366
0.165	150.92595			168.32021		0.78663	0.135	15.67384
0.17		116.46933			167.80998		0.8486	0.14		19.67494
0.18		79.33173			166.87659		0.90118	0.145	22.36642
											0.15		22.72468
											0.155	20.59953
											0.16		16.83413
											0.165	12.63442
											0.17		8.89259
											0.175	5.98104
											0.18		3.9013
