Im(muB)[GeV]	T-Tcep[GeV]
0			0
9.56429E-5	4.7E-4
1.31729E-4	5.7E-4
1.65659E-4	6.7E-4
2.05594E-4	7.7E-4
2.93169E-4	9.7E-4
8.81217E-4	0.00197
0.00162		0.00297
0.00246		0.00397
0.00573		0.00697
0.01253		0.01197
0.02121		0.01697
0.03167		0.02197
0.04302		0.02697
0.05636		0.03197
0.07012		0.03697
0.086		0.04197
0.10292		0.04697
0.1224		0.05197
0.14514		0.05697
0.17082		0.06197
0.20778		0.06797
0.23373		0.07197
0.26993		0.07697
0.30791		0.08197
0.3777		0.09197
0.53721		0.11697
0.81524		0.16697
1.08856		0.21697
mucep		Tcep
0.2423      	0.08303
